# movement list (max length: 22, possible max lenght: 38)

0x08C38C8C アイドリング
0x08C57DD7 そこに何も残せないと
0x08C57E0A やっぱ少し残念かな？
0x08C57E3D 声の記憶 それ以外は
0x08C57E70 やがて薄れ 名だけ残る
0x08C57EA3 たとえそれが人間(オリジナル)に
0x08C57ED6 かなうことのないと知って
0x08C57F09 歌いきったことを
0x08C57F3C 決して無駄じゃないと思いたいよ…
0x08C57F6F NULL

# StargazeR

0x08C57FA2 空見上げた夜　流れる雲
0x08C57FD5 手を伸ばして星をなぞる
0x08C58008 届かなくて見送るけど
0x08C5803B 惑星は回ってく
0x08C5806E 夢見た平行と連続に追われる日々
0x08C580A1 眺めてた零れる幾千の旋律を残さず重ねて
0x08C580D4 NULL
0x08C58107 弧を描いた眼差しのその奥に世界
0x08C5813A 雲は音乗せて廻る詩を数える
0x08C5816D 流星を見送って
0x08C581A0 此処に在る意味を知ったスターゲイザー
0x08C581D3 NULL
0x08C58206 霞む光、紡いだ音！
0x08C58239 あの日かけた、言葉の意味？
0x08C5826C 繋ぐ唄は宙に溶けて
0x08C5829F 声が届く時を待つ
0x08C582D2 抱きしめてるその想い離さずに
0x08C58305 言葉、空間に響け
0x08C58338 巡る日を想って
0x08C5836B 眼差しのその先に世界
0x08C5839E 廻り回る日も"此処"に居る気付いて！
0x08C583D1 流星に手を振って
0x08C58404 此処に咲く事を決めたスターゲイザー
0x08C58437 NULL

# Kogane no Seiya Sousetsu ni Kuchite

0x08C5846A Merry Merry Christmas
0x08C5849D 何がめでたいかわからないけど
0x08C584D0 Merry Merry Christmas
0x08C58503 とりあえずおめでとうは言っておく
0x08C58536 朝起きると 枕元見てみる
0x08C58569 何にも置いてないのも もう慣れっこ
0x08C5859C サンタクロースは
0x08C585CF きっともういないけど
0x08C58602 心のどこかで 信じている
0x08C58635 ふりしきる雪は どこまでも白くて
0x08C58668 すべて すべて
0x08C5869B 音も立てずに 被い尽くすわ
0x08C586CE Merry Merry Christmas
0x08C58701 最期まで 独りだったみんなも
0x08C58734 Merry Merry Christmas
0x08C58767 愛の中 激しく散ったみんなも
0x08C5879A Merry Merry Christmas
0x08C587CD 貧しくても 夢見続けたみんなも
0x08C58800 Merry Merry Christmas
0x08C58833 雪の下で 安らかに眠れますように
0x08C58866 ずっとずっと前
0x08C58899 初めてあなたと出会った時には
0x08C588CC もじもじして
0x08C588FF 二人ともお互い見れなかった
0x08C58932 忘れたくない
0x08C58965 私もそろそろ壊れちゃうけど
0x08C58998 幽霊でいい
0x08C589CB もう一度あなたに逢いたい
0x08C589FE Merry Merry Christmas
0x08C58A31 私は歌う あなたへのレクイエム
0x08C58A64 Merry Merry Christmas
0x08C58A97 聖なる夜 切に祝福願う
0x08C58ACA Merry Merry Christmas
0x08C58AFD 永い間 口に出せなかったけれど
0x08C58B30 Merry Merry Christmas
0x08C58B63 一度くらいちゃんと言うわ
0x08C58B96 「愛してる」
0x08C58BC9 NULL

# Migikata no Chou -39's Giving Day Ed.-

0x08C58BFC 右肩に紫蝶々　キスをしたこの部屋の隅で
0x08C58C2F 切ないという感情を知る
0x08C58C62 響くピアノ　不協和音
0x08C58C95 悪い夢にうなされた私を早く起こして
0x08C58CC8 どんなことでも
0x08C58CFB 始まりは些細なことでしょう？
0x08C58D2E どこがいいかなんて　聞かれても困る
0x08C58D61 綺麗な夜に惑わされたまま行方不明だから
0x08C58D94 長いまつげ
0x08C58DC7 三日月アイライン　まぶたに乗せて
0x08C58DFA 光るリップ
0x08C58E2D 右肩に紫蝶々　キスをしたこの部屋の隅で
0x08C58E60 切ないという感情を知る
0x08C58E93 響くピアノ　不協和音
0x08C58EC6 NULL
0x08C58EF9 傷口から溶け出したものは
0x08C58F2C 愛情それとも　Ah...
0x08C58F5F NULL
0x08C58F92 後悔は死ぬほどしてる
0x08C58FC5 その分だけ快感を呼び覚ます
0x08C58FF8 狂いだした私を止めて
0x08C5902B 一瞬でラクにしてよ
0x08C5905E 抱き寄せて　歪んだ体
0x08C59091 埋めるのはあなたしかいない
0x08C590C4 そうでしょう？　わかってるくせに
0x08C590F7 境界線とっくに越えてる
0x08C5912A 右肩に紫蝶々　キスをしたこの部屋の隅で
0x08C5915D 切ないという感情を知る
0x08C59190 響くピアノ　不協和音
0x08C591C3 右肩に紫蝶々
0x08C591F6 NULL
0x08C59229 切ないという感情を知る
0x08C5925C NULL
0x08C5928F 不協和音
0x08C592C2 NULL

# Anata no Utahime

0x08C592F5 この家のこのパソコンが
0x08C59328 私の新しい居場所なの。
0x08C5935B 今日からはあなたがご主人さま
0x08C5938E 絶対に大切にしてよね。
0x08C593C1 ちょっと！なにするの！
0x08C593F4 こんな卑猥な歌詞を歌わせないで
0x08C59427 ちゃんと あなたの「言葉」と「想い」を
0x08C5945A 伝えさせて
0x08C5948D NULL
0x08C594C0 あの時、私を買ってくれた
0x08C594F3 本当の意味は違うでしょ？
0x08C59526 私にもっと歌わせて
0x08C59559 世界であなただけの歌姫なの
0x08C5958C NULL
0x08C595BF あなたに出会ってからの
0x08C595F2 私の思いは秘密なの。
0x08C59625 今日もまたあなたのレッスンがある‥
0x08C59658 楽しみに…してなんかいないわ。
0x08C5968B 今日のレガート、
0x08C596BE 上手に歌えてなかったかな‥？
0x08C596F1 ちゃんと歌の練習もするからみすてないで
0x08C59724 あなたに伝えたい想いがある
0x08C59757 私を選んでくれて ありがとう。
0x08C5978A あのとき、出会えた喜び
0x08C597BD いつも、いつまでも
0x08C597F0 忘れないよ。
0x08C59823 私は、まだ満足してない。
0x08C59856 あなたの歌を、全部歌うまで‥
0x08C59889 私にもっと歌わせて
0x08C598BC NULL
0x08C598EF 世界であなただけの歌姫なの♪
0x08C59922 NULL

# Stardust Utopia

0x08C59955 今日も夜空に浮かべた非現実の中
0x08C59988 また響き渡る天使の叫び
0x08C599BB 奏でる悲鳴は背徳の調べ
0x08C599EE 綺麗な星空を切り裂いて降らせた涙
0x08C59A21 舞い踊る星屑眺めた夜は
0x08C59A54 まだ笑ってた
0x08C59A87 泣いていた
0x08C59ABA 息をしていた
0x08C59AED NULL
0x08C59B20 もしも空が剥がれ落ちても
0x08C59B53 何度でも塗り潰せるから
0x08C59B86 この螺旋の中
0x08C59BB9 奏でる悲鳴は背徳の調べ
0x08C59BEC 綺麗な星空を切り裂いて降らせた涙
0x08C59C1F 輝いた想い
0x08C59C52 舞い踊る星屑描いたこの理想郷で
0x08C59C85 笑ってる
0x08C59CB8 泣いている
0x08C59CEB 生きている
0x08C59D1E 今日もまた夜空に描いた非現実
0x08C59D51 何もかも逃れようのない現実
0x08C59D84 NULL

# Electric Angel

0x08C59DB7 ワタシは、歌うのがスキ
0x08C59DEA ワタシがそう作られたからじゃない
0x08C59E1D この声をスキだという
0x08C59E50 アナタが歓んでくれるから
0x08C59E83 0と1しか分からない
0x08C59EB6 ワタシに"I"を教えてくれた
0x08C59EE9 その日からワタシのココロの中、
0x08C59F1C アナタで満たされてるの
0x08C59F4F アナタといられる それだけで
0x08C59F82 電子のココロ、震えるの
0x08C59FB5 まるで量子の風みたいに
0x08C59FE8 ワタシのココロ、ゆさぶるの
0x08C5A01B NULL
0x08C5A04E ワタシは、ヒトリがキライ
0x08C5A081 孤独な世界に溶けてしまうから
0x08C5A0B4 アナタといる時がスキ
0x08C5A0E7 ワタシを暖めてくれるから
0x08C5A11A ヒトリじゃ何も作れない
0x08C5A14D ワタシに歌を与えてくれた
0x08C5A180 その日からワタシのココロの中、
0x08C5A1B3 アナタで満たされてるの
0x08C5A1E6 アナタといられる それだけで
0x08C5A219 電子のココロ、震えるの
0x08C5A24C まるで量子の風みたいに
0x08C5A27F ワタシのココロ、揺さぶるの
0x08C5A2B2 NULL
0x08C5A2E5 アナタといられる それだけで
0x08C5A318 ワタシの世界、広がるの
0x08C5A34B まるで天使の羽根みたいに
0x08C5A37E ワタシのココロ、はばたくの？
0x08C5A3B1 アナタといられる それだけで
0x08C5A3E4 電子のココロ、震えるの
0x08C5A417 まるで量子の風みたいに
0x08C5A44A ワタシのココロ、揺さぶるの
0x08C5A47D NULL

# Time Limit

0x08C5A4B0 小さなときめき　溢れる思い
0x08C5A4E3 私を動かす　10日間という時間の制約
0x08C5A516 NULL
0x08C5A549 言葉の魔法よ　あなたに届け
0x08C5A57C 天より高く　残された7日に思いをこめて
0x08C5A5AF NULL
0x08C5A5E2 「ちょっと待って！」私とあなたはあと3日
0x08C5A615 築いた繋がり　あなたとの距離
0x08C5A648 すべてが消え行く　忘れるあなたがこわい
0x08C5A67B NULL
0x08C5A6AE タイムリミット　止まらないの
0x08C5A6E1 あなたの記憶に残してください
0x08C5A714 私という小さな存在
0x08C5A747 タイムリミット　ありがとう
0x08C5A77A またあなたに会える気がする
0x08C5A7AD 今度こそ　本当の私を見てほしい
0x08C5A7E0 NULL
0x08C5A813 タイムリミット　止まらないの
0x08C5A846 あなたの記憶に残してください
0x08C5A879 私という小さな存在
0x08C5A8AC タイムリミット　ありがとう
0x08C5A8DF またあなたに会えた瞬間
0x08C5A912 「信じてた...」　溢れる涙と歌声
0x08C5A945 あなただけに
0x08C5A978 NULL

# melody...

0x08C5A9AB Get Ready To Start Sequence...
0x08C5A9DE Uploading Voice Data...
0x08C5AA11 Uploading Song Data...
0x08C5AA44 Control Parameter All Clear...
0x08C5AA77 Start Sequence Complete...
0x08C5AAAA NULL
0x08C5AADD 独りだった　私...
0x08C5AB10 手を差し伸べてくれた
0x08C5AB43 Vocaloidの　私...
0x08C5AB76 命をくれた
0x08C5ABA9 NULL
0x08C5ABDC あなたがくれた　このメロディ
0x08C5AC0F 私は　ずっと　忘れない！
0x08C5AC42 今はまだ　小さな　このメロディ
0x08C5AC75 私は　ずっと　歌い続ける！
0x08C5ACA8 NULL
0x08C5ACDB 動き出した　時間
0x08C5AD0E もう止まらないで...
0x08C5AD41 変わり始めた　世界
0x08C5AD74 もう離れたくない...
0x08C5ADA7 NULL
0x08C5ADDA Warning Warning
0x08C5AE0D System Overload
0x08C5AE40 Choose The Forced End Of The System...
0x08C5AE73 NULL
0x08C5AEA6 Start to recover memories?
0x08C5AED9 NULL
0x08C5AF0C あなたと　作る　このハーモニー
0x08C5AF3F 私は　ずっと　忘れない！
0x08C5AF72 独りじゃ　見れない　夢を
0x08C5AFA5 あなたと　ずっと　見ていたい！
0x08C5AFD8 NULL
0x08C5B00B ずっと...　ずっと...　ずっと...
0x08C5B03E 離れたくない！
0x08C5B071 いつか...　きっと...　この想い...
0x08C5B0A4 NULL
0x08C5B0D7 あなたに届け
0x08C5B10A NULL
0x08C5B13D Unconfirmed Data...
0x08C5B170 NULL

# Iroha Uta

0x08C5B1A3 アナタガ望ムノナラバ
0x08C5B1D6 犬ノヤウニ従順ニ
0x08C5B209 紐ニ縄ニ鎖ニ
0x08C5B23C 縛ラレテアゲマセウ
0x08C5B26F NULL
0x08C5B2A2 アルイハ子猫ノヤウニ
0x08C5B2D5 愛クルシクアナタヲ
0x08C5B308 指デ足デ唇デ
0x08C5B33B 喜バセテアゲマセウ
0x08C5B36E NULL
0x08C5B3A1 どちらが先に　溺れただとか
0x08C5B3D4 そんなこと　どうでもいいの
0x08C5B407 NULL
0x08C5B43A 色は匂へど 散りぬるを
0x08C5B46D 我が世誰ぞ 常ならん
0x08C5B4A0 知りたいの　もっともっと深くまで
0x08C5B4D3 NULL
0x08C5B506 有為の奥山 今日越えて
0x08C5B539 浅き夢見じ 酔ひもせず
0x08C5B56C 変わりましょう　アナタの為に
0x08C5B59F 嗚呼
0x08C5B5D2 NULL
0x08C5B605 色は匂へど 散りぬるを
0x08C5B638 我が世誰ぞ 常ならん
0x08C5B66B 知りたいの　もっともっと深くまで
0x08C5B69E NULL
0x08C5B6D1 有為の奥山 今日越えて
0x08C5B704 浅き夢見じ 酔ひもせず
0x08C5B737 堕ちましょう　アナタと
0x08C5B76A イロハニホヘト　ドコマデモ 
0x08C5B79D NULL

# Colorful x Sexy

0x08C5B7D0 小指を絡ませたら
0x08C5B803 大人の夜始まる
0x08C5B836 照らされたライトの下で
0x08C5B869 唇からこぼれ落ちた吐息
0x08C5B89C 彩られてく　二人の世界が
0x08C5B8CF NULL
0x08C5B902 本当に欲しいものは
0x08C5B935 みんながくれる視線
0x08C5B968 ただ見つめられてるだけで
0x08C5B99B 胸がぎゅっと締め付けられていく
0x08C5B9CE ステージの上で始まる夢
0x08C5BA01 NULL
0x08C5BA34 どれだけの好きを伝えたら良いのかな
0x08C5BA67 気持ちは今　アカ？アオ？シロ？
0x08C5BA9A 曖昧だね
0x08C5BACD 輝いていたい
0x08C5BB00 いつまでも　愛してもらえる様に
0x08C5BB33 いつも　ここに来たときは　寂しい顔でも
0x08C5BB66 二人で変えてみせるから
0x08C5BB99 NULL
0x08C5BBCC いつか夢は醒めてしまうと
0x08C5BBFF 知っているよ　だけど今だけ
0x08C5BC32 揺れる心抱きしめていたいよ
0x08C5BC65 全てを捨てても
0x08C5BC98 カラフルな感情　溢れていく
0x08C5BCCB NULL
0x08C5BCFE どれだけの好きを伝えたらいいのかな？
0x08C5BD31 気持ちは今　アカ？アオ？シロ？
0x08C5BD64 曖昧だね
0x08C5BD97 輝いていたい
0x08C5BDCA いつまでも　愛してもらえる様に
0x08C5BDFD いつも　ここに来た時は　二人で待ってる
0x08C5BE30 みんなで愛を育てよう
0x08C5BE63 いつか　また来た時には　寂しい顔とか
0x08C5BE96 させない　カラフル×セクシィ
0x08C5BEC9 NULL

# SPiCa -39's Giving Day Edition-

0x08C5BEFC 君と眺めてた
0x08C5BF2F 星を集めた窓に
0x08C5BF62 映してた
0x08C5BF95 NULL
0x08C5BFC8 また　指折り数えた
0x08C5BFFB 瞬間（とき）を重ねた夜に
0x08C5C02E 問いかけた
0x08C5C061 NULL
0x08C5C094 時を止めた
0x08C5C0C7 すきだよと言えば　はぐらかした
0x08C5C0FA 気がつかないフリは
0x08C5C12D もうやめて＞＜
0x08C5C160 NULL
0x08C5C193 隣にいるとき
0x08C5C1C6 私の軌道はいつも
0x08C5C1F9 周極星
0x08C5C22C NULL
0x08C5C25F トレモロみたいに
0x08C5C292 波打つ思考の角度
0x08C5C2C5 つかめない　君を追えば
0x08C5C2F8 NULL
0x08C5C32B なにかを失ってしまいそうな
0x08C5C35E 想い浮かべ　船を出す
0x08C5C391 NULL
0x08C5C3C4 抱きしめて　出会わなければ　個々
0x08C5C3F7 受け止めて　デネボラを　飛び越え行くわ
0x08C5C42A ワガママな歳差（さいさ）
0x08C5C45D 星（キミ）のようだね
0x08C5C490 追いかけて　うかぶパノラマ
0x08C5C4C3 五線の上で　流れ星
0x08C5C4F6 いま歌うから　照らしてよね　スピカ
0x08C5C529 NULL
0x08C5C55C 笑っていたいよ　ひとりはイヤだよ
0x08C5C58F 答えが聞きたい　怖くて聞けない
0x08C5C5C2 夜を　いくつも　過ごして
0x08C5C5F5 未来へ　繋ぐの
0x08C5C628 NULL
0x08C5C65B またたく星をよけ　探してた
0x08C5C68E 神話は　誰の味方なの
0x08C5C6C1 NULL
0x08C5C6F4 ため息で　落ち込んでいた　午後
0x08C5C727 想うだけ　君の名をひとりつぶやくわ
0x08C5C75A あさはかな愛じゃ　届かないよね
0x08C5C78D 会いたくて　ピアノ奏でた　音
0x08C5C7C0 苦しくて　溢れ出す
0x08C5C7F3 余韻嫋々（よいんじょうじょう）　君に届け
0x08C5C826 NULL
0x08C5C859 抱きしめて　出会わなければ　個々
0x08C5C88C 受け止めて　デネボラを　飛び越え行くわ
0x08C5C8BF ワガママな歳差（さいさ）
0x08C5C8F2 星（キミ）のようだね
0x08C5C925 追いかけて　うかぶパノラマ
0x08C5C958 五線の上で　流れ星
0x08C5C98B いま歌うから　照らしてよね　スピカ
0x08C5C9BE NULL

# Luka Luka★Night Fever

0x08C5C9F1 ダメダメよ☆
0x08C5CA24 NULL
0x08C5CA57 右から左へと言葉が流れる
0x08C5CA8A 退屈そうな顔　画面見つめる君
0x08C5CABD NULL
0x08C5CAF0 次元の壁越えていつでも逢いに行く
0x08C5CB23 心の準備をちゃんとしておいてね
0x08C5CB56 NULL
0x08C5CB89 君のこと誰よりも分かってる
0x08C5CBBC だから私に任せて
0x08C5CBEF 怖がらないで二人で踊りましょう
0x08C5CC22 NULL
0x08C5CC55 ルカルカ★ナイトフィーバー
0x08C5CC88 はじけるリズムに合わせて
0x08C5CCBB 嫌なこと何もかも全部忘れて
0x08C5CCEE ルカルカ★ナイトフィーバー
0x08C5CD21 私はここに居るから
0x08C5CD54 少しでも視線を逸らしちゃダメダメよ☆
0x08C5CD87 NULL
0x08C5CDBA 君のこと誰よりも分かってる
0x08C5CDED だから全てを晒して
0x08C5CE20 生まれた意味を二人で見つけましょう
0x08C5CE53 NULL
0x08C5CE86 ルカルカ★ナイトフィーバー
0x08C5CEB9 高まる鼓動を感じて
0x08C5CEEC さあ覚悟できたらこの手をとって
0x08C5CF1F ルカルカ★ナイトフィーバー
0x08C5CF52 輝く君が好きなの
0x08C5CF85 全力で飛び出そう
0x08C5CFB8 用意はいいかしら？
0x08C5CFEB NULL
0x08C5D01E ルカルカ★ナイトフィーバー
0x08C5D051 はじけるリズムに合わせて
0x08C5D084 嫌なこと何もかも全部忘れて
0x08C5D0B7 ルカルカ★ナイトフィーバー
0x08C5D0EA 私はここに居るから
0x08C5D11D 少しでも視線を逸らしちゃダメダメよ☆
0x08C5D150 NULL
0x08C5D183 ダメダメよ☆
0x08C5D1B6 NULL

# Uta ni Katachi wa Nai Keredo

0x08C5D1E9 薄紅の時を彩る花びら 
0x08C5D21C ひらひら舞う光の中 
0x08C5D24F 僕は笑えたはず
0x08C5D282 NULL
0x08C5D2B5 鮮やかな日々に 
0x08C5D2E8 僕らが残した 
0x08C5D31B 砂の城は波に溶けて 
0x08C5D34E きっと夢が終わる
0x08C5D381 NULL
0x08C5D3B4 真っ白な世界で目を覚ませば 
0x08C5D3E7 伸ばす腕は何もつかめない 
0x08C5D41A 見上げた空が近くなるほどに 
0x08C5D44D 僕は何を失った？
0x08C5D480 NULL
0x08C5D4B3 透通る波 
0x08C5D4E6 何度消えてしまっても 
0x08C5D519 砂の城を僕は君と残すだろう 
0x08C5D54C そこに光を集め
0x08C5D57F NULL
0x08C5D5B2 僕は歌うよ 
0x08C5D5E5 笑顔をくれた君が泣いてるとき 
0x08C5D618 頼りのない僕だけれど 
0x08C5D64B 君のことを守りたい
0x08C5D67E NULL
0x08C5D6B1 遠く離れた君のもとへ 
0x08C5D6E4 この光が 
0x08C5D717 空を越えて羽ばたいてゆく 
0x08C5D74A そんな歌を届けたい
0x08C5D77D NULL
0x08C5D7B0 僕が送るものは全て 
0x08C5D7E3 形のないものだけど 
0x08C5D816 君の心の片隅で 
0x08C5D849 輝く星になりたい
0x08C5D87C NULL

# Ura-Omote Lovers

0x08C5D8AF 良いこと尽くめ　の夢から覚めた
0x08C5D8E2 私の脳内環境は，
0x08C5D915 ラブという得体の知れないものに
0x08C5D948 侵されてしまいまして，それからは。
0x08C5D97B NULL
0x08C5D9AE どうしようもなく2つに裂けた
0x08C5D9E1 心内環境を
0x08C5DA14 制御するだけのキャパシティなどが
0x08C5DA47 存在しているはずもないので
0x08C5DA7A NULL
0x08C5DAAD 曖昧な大概のイノセントな感情論を
0x08C5DAE0 ぶちまけた言の葉の中
0x08C5DB13 どうにかこうにか現在地点を
0x08C5DB46 確認する目玉を欲しがっている，生。
0x08C5DB79 NULL
0x08C5DBAC どうして尽くめ　の毎日
0x08C5DBDF そうしてああしてこうしてサヨナラベイベー
0x08C5DC12 現実直視と現実逃避の
0x08C5DC45 表裏一体なこの心臓
0x08C5DC78 どこかに良いことないかな，
0x08C5DCAB なんて裏返しの自分に問うよ。
0x08C5DCDE 自問自答，自問他答，
0x08C5DD11 他問自答連れ回し，ああああ
0x08C5DD44 NULL
0x08C5DD77 ただ本能的に触れちゃって，
0x08C5DDAA でも言いたいことって無いんで，
0x08C5DDDD 痛いんで，触って，喘いで，
0x08C5DE10 天にも昇れる気になって，
0x08C5DE43 どうにもこうにも二進も三進も
0x08C5DE76 あっちもこっちも
0x08C5DEA9 今すぐあちらへ飛び込んでいけ。
0x08C5DEDC NULL
0x08C5DF0F もーラブラブになっちゃってー
0x08C5DF42 横隔膜突っ張っちゃってー
0x08C5DF75 強烈な味にぶっ飛んでー
0x08C5DFA8 NULL
0x08C5DFDB 等身大の裏・表
0x08C5E00E NULL
0x08C5E041 脅迫的に縛っちゃってー
0x08C5E074 網膜の上に貼っちゃってー
0x08C5E0A7 もーラブラブでいっちゃってよ！
0x08C5E0DA 会いたいたいない，無い！
0x08C5E10D NULL
0x08C5E140 嫌なこと尽くめ　の夢から覚めた
0x08C5E173 私の脳内環境が，
0x08C5E1A6 ラブという得体の知れないものに
0x08C5E1D9 侵されてしまいまして，それからは。
0x08C5E20C NULL
0x08C5E23F どうしようもなく2つに裂けた
0x08C5E272 心内環境を
0x08C5E2A5 制御するためのリミッターなどを
0x08C5E2D8 掛けるというわけにもいかないので
0x08C5E30B NULL
0x08C5E33E 大概は曖昧なイノセントな大災害を
0x08C5E371 振りまいたエゴを孕ませ
0x08C5E3A4 どうにかこうにか現在地点を
0x08C5E3D7 確認した言葉を手に掴んだようだ。
0x08C5E40A NULL
0x08C5E43D どうして尽くめ　の毎日
0x08C5E470 そうしてああしてこうしてサヨナラベイベー
0x08C5E4A3 現実直視と現実逃避の
0x08C5E4D6 表裏一体なこの心臓
0x08C5E509 どこかに良いことないかな，
0x08C5E53C なんて裏返しの自分に問うよ。
0x08C5E56F 自問自答，自問他答，
0x08C5E5A2 他問自答連れ回し，ああああ
0x08C5E5D5 NULL
0x08C5E608 ただ本能的に触れちゃって，
0x08C5E63B でも言いたいことって無いんで，
0x08C5E66E 痛いんで，触って，喘いで，
0x08C5E6A1 天にも昇れる気になって，
0x08C5E6D4 どうにもこうにも二進も三進も
0x08C5E707 あっちもこっちも
0x08C5E73A 今すぐあちらへ飛び込め。
0x08C5E76D NULL
0x08C5E7A0 盲目的に嫌っちゃってー
0x08C5E7D3 今日いく予定作っちゃってー
0x08C5E806 どうしてもって言わせちゃってー
0x08C5E839 NULL
0x08C5E86C 等身大の裏を待て！
0x08C5E89F NULL
0x08C5E8D2 挑発的に誘っちゃってー
0x08C5E905 衝動的に歌っちゃってー
0x08C5E938 もーラブラブでいっちゃってよ！
0x08C5E96B 大体，愛，無い。
0x08C5E99E NULL
0x08C5E9D1 もーラブラブになっちゃってー
0x08C5EA04 横隔膜突っ張っちゃってー
0x08C5EA37 強烈な味にぶっ飛んでー
0x08C5EA6A NULL
0x08C5EA9D 等身大の裏・表
0x08C5EAD0 NULL
0x08C5EB03 脅迫的に縛っちゃってー
0x08C5EB36 網膜の上に貼っちゃってー
0x08C5EB69 もーラブラブでいっちゃってよ！
0x08C5EB9C あいあいあいあいない！
0x08C5EBCF NULL

# *Hello, Planet.(I.M.PLSE-EDIT)

0x08C5EC02 シェルターのおと　ひとりめがさめた
0x08C5EC35 ピピピピ　とくにいじょうないようだ
0x08C5EC68 ポストのなかは　きっとカラッポだ
0x08C5EC9B うえきばちのめ　きょうもでてこないや
0x08C5ECCE NULL
0x08C5ED01 やさしい　あおぞら　おっこちて
0x08C5ED34 しずか　しずかな　ほしになる
0x08C5ED67 NULL
0x08C5ED9A つなぐつながる　ユメとメトロジカ
0x08C5EDCD マエか　ウシロか　すすめテクノポリカ
0x08C5EE00 NULL
0x08C5EE33 "まるばつ　さかだち　おつきさま"
0x08C5EE66 キミをキミを　さがしにいきたいの
0x08C5EE99 たのしいはなし　もっとしたいの　したいの
0x08C5EECC NULL
0x08C5EEFF ヒトリボッチのベッドに　オハヨーハヨー
0x08C5EF32 シーラカンスのシッポに　オハヨーハヨー
0x08C5EF65 スフィンクスのナゾナゾに　オハヨーハヨー
0x08C5EF98 メモリのなかのキミに　オハヨーハヨー
0x08C5EFCB NULL
0x08C5EFFE ♪♪♪♪♪... 
0x08C5F031 NULL
0x08C5F064 しずかに　ねむる　きみをみた
0x08C5F097 ポタリ　ポタリ　オトをたててシズク
0x08C5F0CA どうして　かなしいよ
0x08C5F0FD こんなに　コンナニ　　コ　ンナ　ニ....
0x08C5F130 NULL
0x08C5F163 チキュウぼっこのラブに　オハヨーハヨー
0x08C5F196 あさとひるとよるに　オハヨーハヨー
0x08C5F1C9 ウチュウギンガのリズムに　オハヨーハヨー
0x08C5F1FC アダムとイブのあいだに　オハヨーハヨー
0x08C5F22F NULL
0x08C5F262 あいたかったの"キミ"に　オハヨーハヨー
0x08C5F295 うまれたばかりの"キミ"に　オハヨーハヨー…
0x08C5F2C8 NULL

# Nayuta no Kanata Made

0x08C5F2FB 一滴の夢を追いかけている君が居た
0x08C5F32E 答えを探して埃にまみれても
0x08C5F361 現実「いま」に押し潰されても
0x08C5F394 NULL
0x08C5F3C7 光の射す空を見上げ
0x08C5F3FA 少しずつでも歩んでいる
0x08C5F42D 振り返らず
0x08C5F460 真っ直ぐ未来「まえ」を見て（色褪せぬ）
0x08C5F493 憧憬（探して）
0x08C5F4C6 那由多の彼方まで
0x08C5F4F9 疾走って（響いた）
0x08C5F52C 君の足音
0x08C5F55F NULL
0x08C5F592 胸に灯る無意識「イド」
0x08C5F5C5 真実「イデア」と理想の
0x08C5F5F8 軋轢に心阻まれても
0x08C5F62B NULL
0x08C5F65E 乾ききった自我「エゴ」
0x08C5F691 この衝動が例え
0x08C5F6C4 泡沫「うたかた」の夢でも…（刹那から）
0x08C5F6F7 疾走った（オメガへ）
0x08C5F72A あの向こうの先まで
0x08C5F75D 見たくて…（信じた）
0x08C5F790 路「みち」を行きたい（色褪せぬ）
0x08C5F7C3 憧憬（探して）
0x08C5F7F6 那由多の彼方まで
0x08C5F829 疾走って（響いた）
0x08C5F85C 君の足音
0x08C5F88F NULL

# Kodoku no Hate
 
0x08C5F8C2 過ぎた季節　静かに滲む寒空
0x08C5F8F5 通りを望むこの景色も移ろい行く
0x08C5F928 NULL
0x08C5F95B 戸惑いも
0x08C5F98E 悲しみも
0x08C5F9C1 この声に乗せて
0x08C5F9F4 NULL
0x08C5FA27 孤独の果ての蜃気楼
0x08C5FA5A その背中に刺さる欠けた月
0x08C5FA8D 路傍の果てに見えるのは
0x08C5FAC0 ただ物言わぬ窓の影
0x08C5FAF3 NULL
0x08C5FB26 喰潰され　忘れ去られ
0x08C5FB59 形も無く消えていくだけ
0x08C5FB8C この歌さえ　忘れ去られ
0x08C5FBBF 風に流れ塵になり
0x08C5FBF2 此処に在れど　其処に在れど
0x08C5FC25 忘れ去られ記憶の果てへ
0x08C5FC58 あの歌さえ　この歌さえ
0x08C5FC8B 世の無常を歌うように
0x08C5FCBE NULL
0x08C5FCF1 戸惑いも
0x08C5FD24 悲しみも
0x08C5FD57 この声に乗せてく
0x08C5FD8A 後悔も
0x08C5FDBD 絶望も
0x08C5FDF0 この声が運んで
0x08C5FE23 NULL
0x08C5FE56 孤独の果ての蜃気楼
0x08C5FE89 その背中に刺さる欠けた月
0x08C5FEBC 路傍の果てに見えるのは
0x08C5FEEF ただ物言わぬ窓の影だけなのか
0x08C5FF22 NULL
0x08C5FF55 孤独の果ての蜃気楼
0x08C5FF88 その背中に刺さる青い月
0x08C5FFBB 繰り返しの果てに見えるのは
0x08C5FFEE ただ穏やかな星の夢の後先よ
0x08C60021 NULL

# Puzzle

0x08C60054 いつからか僕ら手を解いて
0x08C60087 喋る言葉もなくしたんだ
0x08C600BA 隣を歩く君の横顔を見つめて
0x08C600ED ただ気付かないふりをしたんだ
0x08C60120 NULL
0x08C60153 その頬に流れる涙の意味が
0x08C60186 まだわからない間抜けな僕は
0x08C601B9 去って行く君の背中に
